nom_produit,categorie,prix,magasin,date_scraping,url_produit
O ROYAL Eau Minérale 10L,Boissons,9908.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/1574-o-royal-eau-minerale-10l-6046000013217.html
EAU DE TABLE O ROYALE 33CL,Boissons,10039.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/1230-eau-de-table-o-royale-33cl-6046000013255.html
HEINEKEN BLLE 33 CL,Boissons,125018.0,Auchan,2026-04-14,https://www.auchan.sn/bieres/902-heineken-blle-33-cl-8712000030575.html
XRAY ENERGY Drink Canette 50CL,Boissons,69020.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-energisantes/1543-xray-energy-drink-canette-50cl-5701598028968.html
Jus Tropical Minute Maid Canette 25CL,Boissons,3258.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/1778-jus-tropical-minute-maid-canette-25cl-5449000265913.html
VIP LIMONADE GAZELLE 30CL,Boissons,25025.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/1129-vip-limonade-gazelle-30cl-3700029401679.html
AUCHAN Eau gazeuse au citron vert 1L,Boissons,6255.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-gazeuses-aromatisees/7360-auchan-eau-gazeuse-au-citron-vert-1l-3596710437832.html
NECTAR MANGUE BRIQUE 1 LITRE,Boissons,1525139013.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/362-nectar-mangue-brique-1-litre-3516130001161.html
Orangina Boisson Canette 25CL,Boissons,5504.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/7907-orangina-boisson-canette-25cl-6111242370258.html
AUCHAN Pur Jus Clementine 1L,Boissons,26503.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2260-auchan-pur-jus-clementine-1l-3254566098545.html
"VOLVIC Eau minérale plate 1,5l",Boissons,14906.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-gazeuses-aromatisees/6802-volvic-eau-minerale-plate-15l-3057640100178.html
PERRIER 20CL,Boissons,97516.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-gazeuses-aromatisees/6793-perrier-20cl-3179730010058.html
Zena Jus De Gingembre 1L,Boissons,21254.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/1919-zena-jus-de-gingembre-1l-6044000007793.html
Pressea nectar orange brique 1L,Boissons,101522.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/651-pressea-nectar-orange-brique-1l-9501100460073.html
SUN TOP ORANGE 125ML,Boissons,16534.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/494-sun-top-orange-125ml-6281012044457.html
DON SIMON Ananas Brique 1L,Boissons,205014.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2694-don-simon-ananas-brique-1l-8410261210100.html
Pring Valley Nectar Tropical 20CL,Boissons,35063.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/3158-pring-valley-nectar-tropical-20cl-3516130000539.html
KIRENE 1.5L,Boissons,250341.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/2008-kirene-15l-9501100460028.html
Saint Celine Natural Sweet Red 750ml,Boissons,50906.0,Auchan,2026-04-14,https://www.auchan.sn/vins/8792-saint-celine-natural-sweet-red-750ml-6001812011950.html
LACOTTE Rose 750ML,Boissons,102908.0,Auchan,2026-04-14,https://www.auchan.sn/vins/2745-lacotte-rose-750ml-6001506908894.html
Valencia Classic nectar jus d'ananas brique 1L,Boissons,12505.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/5529-valencia-classic-nectar-jus-d-ananas-brique-1l-6111251750027.html
VIP Pomme Pet 30CL,Boissons,2909.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/1782-vip-pomme-pet-30cl-3700029401662.html
GAZELLE ANANAS 30CL,Boissons,25018.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/1132-gazelle-ananas-30cl-3700029401655.html
Jus Ananas Valencia ABTAL Brique 200ML,Boissons,22522.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/6859-jus-ananas-valencia-abtal-brique-200ml-6111251752755.html
Séo eau minérale naturelle bouteille 10L,Boissons,8506.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/5569-seo-eau-minerale-naturelle-bouteille-10l-710535193497.html
Présséa Fresh jus mangue canette 250ml,Boissons,32015.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/3541-pressea-fresh-jus-mangue-canette-250ml-9501100460363.html
Présséa Fresh jus ananas coco canette 250ml,Boissons,320100.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/3537-pressea-fresh-jus-ananas-coco-canette-250ml-9501100460394.html
GAZELLE POMME PET 1L,Boissons,52584.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/1119-gazelle-pomme-pet-1l-3700029401754.html
Don Simon Jus Delight Fruit Mix 1L,Boissons,205011.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/7069-don-simon-jus-delight-fruit-mix-1l-8410261627229.html
SUNQUICK ANANAS 84CL,Boissons,317513.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/1448-sunquick-ananas-84cl-5775345137296.html
SIROP DE MENTHE ZENA 75 CL,Boissons,20905.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/796-sirop-de-menthe-zena-75-cl-6044000007007.html
Zena Jus De Baobab 1L,Boissons,20507.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/1921-zena-jus-de-baobab-1l-6044000007779.html
Freixenet vintage réserve brut 75cl,Boissons,12650.0,Auchan,2026-04-14,https://www.auchan.sn/champagnes-vins-mousseux/2890-freixenet-vintage-reserve-brut-75cl-8410384105598.html
ZENA Nectar Bouye 20CL,Boissons,79010.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/1630-zena-nectar-bouye-20cl-6044000007724.html
Orangina boisson orange avec pulpe pet 50cl,Boissons,8754.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/1499-orangina-boisson-orange-avec-pulpe-pet-50cl-8435185100955.html
Foster Clark's jus en poudre à l'arôme artificiel de...,Boissons,25076.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/4148-foster-clark-s-jus-en-poudre-a-l-arome-artificiel-de-baies-sachet-30g-5352101004988.html
Vin du Sahel vin blanc de palmier 75cl,Boissons,41259.0,Auchan,2026-04-14,https://www.auchan.sn/vins/5074-vin-du-sahel-vin-blanc-de-palmier-75cl-6044000140063.html
Valencia nectar au jus d'orange Light brique 1L,Boissons,13505.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/5548-valencia-nectar-au-jus-d-orange-light-brique-1l-6111251750751.html
Valencia Essentiel boisson Pina Colada à base de...,Boissons,12505.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/5539-valencia-essentiel-boisson-pina-colada-a-base-de-concentre-de-jus-de-fruits-briq-6111251751314.html
Eau de Source O'ROYAL 50CL,Boissons,15051.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/6973-eau-de-source-o-royal-50cl-6046000013224.html
Sangria Cruzares 1L,Boissons,2050.0,Auchan,2026-04-14,https://www.auchan.sn/vins/3935-sangria-cruzares-1l-3700611505754.html
Eau Minérale Seo 1.5L,Boissons,19054.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/3754-eau-minerale-seo-15l-710535193459.html
OKF Farmer's Aloe Vera original 500ML,Boissons,117516.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/6765-okf-farmer-s-aloe-vera-original-500ml-8809041427409.html
Mini Présséa Orange 200ML,Boissons,1655.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/6904-mini-pressea-orange-200ml-9501100461520.html
Eau de Source Pierval 50CL,Boissons,47544.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/6880-eau-de-source-pierval-50cl-3468570818857.html
BARON FUENTE AOP Champagne demi-sec grande réserve 75cl,Boissons,1899017.0,Auchan,2026-04-14,https://www.auchan.sn/champagnes-vins-mousseux/6678-baron-fuente-aop-champagne-demi-sec-grande-reserve-75cl-3591440001063.html
Rani fraise banane 240ml,Boissons,35024.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/4050-rani-fraise-banane-240ml-6281034903930.html
