nom_produit,categorie,prix,magasin,date_scraping,url_produit
AUCHAN SAUCE NUOC MAM 150ML,Epicerie Salée,1650.0,Auchan,2026-04-15,https://www.auchan.sn/sauces-tomates-mayonnaises/942-auchan-sauce-nuoc-mam-150ml-3596710423835.html
AUCHAN PENNE RIGATE QS 500G,Epicerie Salée,950.0,Auchan,2026-04-15,https://www.auchan.sn/pates-alimentaires-puree/387-auchan-penne-rigate-qs-500g-283564011.html
Pâtes torti PANZANI 1 kg,Epicerie Salée,3075.0,Auchan,2026-04-15,https://www.auchan.sn/pates-alimentaires-puree/8577-pates-torti-panzani-1-kg-3038350023605.html
"AUCHAN GOURMET Coulis de tomates , en bocal 430g",Epicerie Salée,1450.0,Auchan,2026-04-15,https://www.auchan.sn/sauces-tomates-mayonnaises/8502-auchan-gourmet-coulis-de-tomates-en-bocal-430g-3596710398829.html
SALINOR Sel Fin 1KG,Epicerie Salée,590.0,Auchan,2026-04-15,https://www.auchan.sn/sel-poivre-epices-herbes/2054-salinor-sel-fin-1kg-3183280006706.html
Anita piment fort 500G,Epicerie Salée,1675.0,Auchan,2026-04-15,https://www.auchan.sn/sel-poivre-epices-herbes/6108-anita-piment-fort-500g-1000000140583.html
PUREE DELICE 4X100G,Epicerie Salée,1550.0,Auchan,2026-04-15,https://www.auchan.sn/pates-alimentaires-puree/1414-puree-delice-4x100g-1094922287631.html
Vermicelle chinois de Dizhu sachet 500g,Epicerie Salée,1625.0,Auchan,2026-04-15,https://www.auchan.sn/produits-du-monde/5241-vermicelle-chinois-de-dizhu-sachet-500g-6958560903047.html
PUREE DE TOMATE BELLA ROSA500G,Epicerie Salée,890.0,Auchan,2026-04-15,https://www.auchan.sn/sauces-tomates-mayonnaises/817-puree-de-tomate-bella-rosa500g-8026700001163.html
Anita Epices clou de girofle moulu 40 g,Epicerie Salée,675.0,Auchan,2026-04-15,https://www.auchan.sn/sel-poivre-epices-herbes/4751-anita-epices-clou-de-girofle-moulu-40-g-1000000007107.html
Avril Haricot Blc Prepare 4/4,Epicerie Salée,1925.0,Auchan,2026-04-15,https://www.auchan.sn/conserves-de-legumes/1803-avril-haricot-blc-prepare-4-4-3464130002735.html
LIDO OIGNONS BLANCS 370ML,Epicerie Salée,790.0,Auchan,2026-04-15,https://www.auchan.sn/condiments-olives-cornichons/1353-lido-oignons-blancs-370ml-5425023710319.html
Fruitale Piment Sec Moulu 40G,Epicerie Salée,850.0,Auchan,2026-04-15,https://www.auchan.sn/sel-poivre-epices-herbes/1855-fruitale-piment-sec-moulu-40g-6044000014159.html
OLIVE V.ENTIER HOJIBLANCA 37CL,Epicerie Salée,1190.0,Auchan,2026-04-15,https://www.auchan.sn/condiments-olives-cornichons/1281-olive-ventier-hojiblanca-37cl-8422767422895.html
Auchan haricots verts extra fins 400 g,Epicerie Salée,1025.0,Auchan,2026-04-15,https://www.auchan.sn/conserves-de-legumes/4393-auchan-haricots-verts-extra-fins-400-g-3596710431175.html
LENTILLE PREPARE 1/2 AUCHAN,Epicerie Salée,925.0,Auchan,2026-04-15,https://www.auchan.sn/conserves-de-legumes/233-lentille-prepare-1-2-auchan-3596710491216.html
Auchan Haricots Verts Très Fins 4/4 440G,Epicerie Salée,1625.0,Auchan,2026-04-15,https://www.auchan.sn/conserves-de-legumes/4899-auchan-haricots-verts-tres-fins-4-4-440g-283512000.html
SPAGHETTI PANZANI 250G,Epicerie Salée,490.0,Auchan,2026-04-15,https://www.auchan.sn/pates-alimentaires-puree/663-spaghetti-panzani-250g-6181100094893.html
AUCHAN Olives noires en rondelles bocal 105g,Epicerie Salée,1325.0,Auchan,2026-04-15,https://www.auchan.sn/condiments-olives-cornichons/7195-auchan-olives-noires-en-rondelles-bocal-105g-3596710454181.html
Mourafa patte d'arachide seau 1 kg,Epicerie Salée,2450.0,Auchan,2026-04-15,https://www.auchan.sn/bouillon-aides-a-la-cuisine/4540-mourafa-patte-d-arachide-seau-1-kg-3009316565163.html
"AUCHAN MMM! Sauce vinaigrette au vinaigre de xérès, ail...",Epicerie Salée,2050.0,Auchan,2026-04-15,https://www.auchan.sn/vinaigres-vinaigrettes/6629-auchan-mmm-sauce-vinaigrette-au-vinaigre-de-xeres-ail-et-basilic-35cl-3596710448647.html
Lala sel d'or 18 épices 400g,Epicerie Salée,1290.0,Auchan,2026-04-15,https://www.auchan.sn/sel-poivre-epices-herbes/5506-lala-sel-d-or-18-epices-400g-9912340050007.html
SAUCE BARBECUE LINGUERE 340G,Epicerie Salée,490.0,Auchan,2026-04-15,https://www.auchan.sn/sauces-tomates-mayonnaises/1059-sauce-barbecue-linguere-340g-6044000080154.html
Mourafa clou de girofle khorom polé sachet 100 g,Epicerie Salée,1990.0,Auchan,2026-04-15,https://www.auchan.sn/sel-poivre-epices-herbes/4527-mourafa-clou-de-girofle-khorom-pole-sachet-100-g-5162022634269.html
LALA Poudre Arachide 400G,Epicerie Salée,1090.0,Auchan,2026-04-15,https://www.auchan.sn/cereales-riz-couscous-semoules/6336-lala-poudre-arachide-400g-950080453855.html
DIAMO Piment Fort 250ML,Epicerie Salée,450.0,Auchan,2026-04-15,https://www.auchan.sn/sel-poivre-epices-herbes/6813-diamo-piment-fort-250ml-6044000041261.html
Anita Epices tandoori 45 g,Epicerie Salée,675.0,Auchan,2026-04-15,https://www.auchan.sn/sel-poivre-epices-herbes/4745-anita-epices-tandoori-45-g-6044000111056.html
Nouille crevettes Noodi 70G,Epicerie Salée,190.0,Auchan,2026-04-15,https://www.auchan.sn/soupes-liquides-deshydratees-instantanees/7427-nouille-crevettes-noodi-70g-6253806680097.html
Welsea Miettes de Thon à la Tomate 160G,Epicerie Salée,1090.0,Auchan,2026-04-15,https://www.auchan.sn/conserves-de-poisson/8434-welsea-miettes-de-thon-a-la-tomate-160g-6044000067216.html
Panzani lasagnes à la Méditerranéenne 500g,Epicerie Salée,2475.0,Auchan,2026-04-15,https://www.auchan.sn/pates-alimentaires-puree/5286-panzani-lasagnes-a-la-mediterraneenne-500g-3038353020106.html
Auchan nouilles pour wok en nids 250 g,Epicerie Salée,1650.0,Auchan,2026-04-15,https://www.auchan.sn/soupes-liquides-deshydratees-instantanees/4247-auchan-nouilles-pour-wok-en-nids-250-g-3596710417445.html
AUCHAN Chucrut Garnie 400GR,Epicerie Salée,2225.0,Auchan,2026-04-15,https://www.auchan.sn/plats-cuisines/2356-auchan-chucrut-garnie-400gr-3254560075528.html
BARILLA Coquillettes 500g,Epicerie Salée,1550.0,Auchan,2026-04-15,https://www.auchan.sn/pates-alimentaires-puree/7014-barilla-coquillettes-500g-8076808140325.html
Auchan cornichons croquants très fins 185 g,Epicerie Salée,1325.0,Auchan,2026-04-15,https://www.auchan.sn/condiments-olives-cornichons/4244-auchan-cornichons-croquants-tres-fins-185-g-3596710401451.html
"AUCHAN Sauce tomate provençale origine France, en bocal 420g",Epicerie Salée,1450.0,Auchan,2026-04-15,https://www.auchan.sn/sauces-tomates-mayonnaises/7191-auchan-sauce-tomate-provencale-origine-france-en-bocal-420g-3596710352449.html
AUCHAN Chips A L'Ancienne 150G,Epicerie Salée,1650.0,Auchan,2026-04-15,https://www.auchan.sn/chips-tuiles-aperitifs/2830-auchan-chips-a-l-ancienne-150g-3254560618855.html
