nom_produit,categorie,prix,magasin,date_scraping,url_produit
CHOCOLAT ORIGINAL NOCILLA 180G,Epicerie,23002185522542.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34671-chocolat-original-nocilla-180g.html
CAFE STICK BONJOURNE BY MR COOK 2GX150PCS,Epicerie,41053899540222.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34667-cafe-stick-bonjourne-by-mr-cook-2gx120pcs.html
KETCHUP BONJOURNE BOUTEILLE 340G,Epicerie,47545154652.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34664-ketchup-bonjourne-bouteille-340g.html
CHOCOLAT EN POUDRE COLA CAO 400G,Epicerie,29502802528912.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34651-chocolat-en-poudre-cola-cao-400g.html
CHOCOLAT EN POUDRE COL CAO 250G,Epicerie,22502137522052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34650-chocolat-en-poudre-col-cao-250g.html
MIEL HONEY NAURE PURE CLASSY 1KG,Epicerie,37503562536752.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34646-miel-honey-naure-pure-classy-1kg.html
BISCUIT BISCOTTES NETTO NETTO 6 CEREALES 300G,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34643-biscuit-biscottes-netto-netto-6-cereales-300g.html
BISCUIT BISCOTTES NETTO NATURE 300G,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34642-biscuit-biscottes-netto-nature-300g.html
EPICE NOKOSS PASSPARTOUT AMA VIANDE ET POUL ET NON EPICE 300G,Epicerie,18501757518132.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34638-epice-nokoss-passpartout-ama-viande-et-poul-et-non-epice-300g.html
EPICE NOKOSS PASSPARTOUT AMA PIMAIL NON EPICE 300G,Epicerie,18501757518132.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34634-epice-nokoss-passpartout-ama-pimail-non-epice-300g.html
EPICE NOKOSS PASSPARTOUT AMA NON EPICE 300G,Epicerie,18501757518132.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34631-epice-nokoss-passpartout-ama-non-epice-300g.html
CAFE BONJOURNE MR COOK POT 50G,Epicerie,79075057742.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34627-cafe-bonjourne-mr-cook-pot-50g.html
CONFITURE C BON MARMELADE D ORANGE 370G,Epicerie,13501282513232.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34625-confiture-c-bon-marmelade-d-orange-370g.html
CURRY C'BON SACHETS 500G,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34623-curry-cbon-sachets-500g.html
PRINGLES CHEESE CREAM & ONION 165G,Epicerie,14501377514212.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34611-pringles-cheese-cream-onion-165g.html
BISCUITS MARIA COOKI 0% SUCRE 200G,Epicerie,13501282513232.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34539-biscuits-maria-cooki-0-sucre-200g.html
COUSCOUS DALIA FIN 1KG,Epicerie,11001045510782.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34510-couscous-dalia-fin-1kg.html
CARTON COUSCOUS DALIA MOYEN 12*1KG,Epicerie,1.2500118755122502e+16,Sakanal,2026-04-14,https://sakanal.sn/fr/acheter-au-prix-gros/34509-carton-couscous-dalia-moyen-121kg.html
COUSCOUS DALIA MOYEN 1KG,Epicerie,11001045510782.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34508-couscous-dalia-moyen-1kg.html
CARTON MACARONI DALIA PENNE RIGATE 12*500G,Epicerie,1.2630119985123772e+16,Sakanal,2026-04-14,https://sakanal.sn/fr/acheter-au-prix-gros/34507-carton-macaroni-dalia-penne-rigate-12500g.html
MACARONI DALIA PENNE RIGATE 500G,Epicerie,89585058772.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34506-macaroni-dalia-plume-500g.html
CARTON MACARONI DALIA TORSADE 12*500G,Epicerie,1.2630119985123772e+16,Sakanal,2026-04-14,https://sakanal.sn/fr/acheter-au-prix-gros/34505-carton-macaroni-dalia-torsade-12500g.html
MACARONI DALIA TORSADE 500G,Epicerie,89585058772.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34504-macaroni-dalia-torsade-500g.html
MACARONI DALIA COQUILLETTES 500G,Epicerie,89585058772.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34502-macaroni-dalia-coquillettes-500g.html
CARTON VERMICELLE CHEVEUX D'ANGE DALIA 12*500G,Epicerie,85008075583302.0,Sakanal,2026-04-14,https://sakanal.sn/fr/acheter-au-prix-gros/34500-carton-vermicelle-cheveux-dange-dalia-12500g.html
VERMICELLE CHEVEUX D'ANGE DALIA 500G,Epicerie,89585058772.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34499-vermicelle-cheveux-dange-dalia-500g.html
LISTERINE FEUILLE MENTHE FRESHBURST POCKET 24PCS,Epicerie,19501852519112.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34432-listerine-feuille-menthe-freshburst-pocket-24pcs.html
CARTON NESCAFE SELECTION 12*100G,Epicerie,3.999537995539195e+16,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34430-carton-nescafe-selection-12100g.html
NESCAFE SPECIAL FILTRE JAR 100G,Epicerie,37503562536752.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34429-nescafe-special-filtre-jar-100g.html
NESCAFE SELECTION 100G,Epicerie,37503562536752.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34427-nescafe-selection-100g.html
CARTON NESCAFE SELECTION 6*200G,Epicerie,3.999537995539195e+16,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34426-carton-nescafe-selection-6200g.html
NESCAFE SELECTION 200G,Epicerie,78957500577372.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34425-nescafe-selection-200g.html
BISCUIT MINI CHICO MIKO CHOCOLAT POT 100G,Epicerie,11001045510782.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34353-biscuit-mini-chico-miko-chocolat-pot-100g.html
BISCUIT MINI CHICO MIKO VANILLE POT 100G,Epicerie,11001045510782.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34352-biscuit-mini-chico-miko-vanille-pot-100g.html
BISCUIT CUETARA TOSTA RICA 190G,Epicerie,14501377514212.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34351-biscuit-cuetara-tosta-rica-190g.html
CEREALE CORN FLAKES KD CLASSIC 375G,Epicerie,16501567516172.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34347-cereale-corn-flakes-kd-classic-375g.html
BISCUIT CUETARA WAFER COCOA 150G,Epicerie,12501187512252.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34346-biscuit-cuetara-wafer-cocoa-150g.html
MADELEINE DELICIOSA ORIGINAL 12PCS,Epicerie,16501567516172.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34344-madeleine-deliciosa-original-12pcs.html
MADELEINE DELICIOSA ORIGINAL 6PCS,Epicerie,91086458912.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34343-madeleine-deliciosa-original-6pcs.html
BISCUIT MINI CHICO MIKO FRAISE POT 100G,Epicerie,11001045510782.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34342-biscuit-mini-chico-miko-fraise-pot-100g.html
BISCUIT KRIT KRITITAS SACHETS 40GR,Epicerie,45042754412.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34341-biscuit-krit-krititas-sachets-40gr.html
BONBON ALWAYS FRESH PEPPERMINT 1.23 OZ 35G,Epicerie,14101339513812.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34340-bonbon-always-fresh-peppermint-123-oz-35g.html
BONBON ALWAYS FRESH 1.23 OZ 35G,Epicerie,14101339513812.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34339-bonbon-always-fresh-123-oz-35g.html
BISCUIT BAUDUCCO MINI WAFER FRAISE 30G,Epicerie,21019952052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34315-biscuit-bauducco-mini-wafer-fraise-30g.html
BISCUIT POMME DE TERRE CREAM ET OINION POTATA 50PCS *15G,Epicerie,25002375524502.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34309-biscuit-pomme-de-terre-cream-et-oinion-potata-50pcs-15g.html
SAUCE SOJA BONJOURNE PM 150ML,Epicerie,75071257352.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34302-sauce-soja-bonjourne-pm-150ml.html
SAUCE SOJA BONJOURNE GM 750ML,Epicerie,14501377514212.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34301-sauce-soja-bonjourne-gm-750ml.html
COFFE MATE 1.5KG,Epicerie,99909490597902.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34297-coffe-mate-15kg.html
CHIPS D'OR SUPER CRISPY FROMMAGE 35G,Epicerie,47545154652.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34296-chips-dor-super-crispy-frommage-35g.html
MIEL TUBE PURE BEE HONEY ADORO 400G,Epicerie,24502327524012.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34295-miel-tube-pure-bee-honey-adoro-400g.html
BISCUIT NETTO GALETTES BRETONNES 125G,Epicerie,12501187512252.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34293-biscuit-netto-galettes-bretonnes-125g.html
KETCHUP TOMATE TAMA 5L,Epicerie,49004655548022.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34278-ketchup-tomate-tama-5l.html
CONFITURE C BON DE FRUITS MELANGES 370G,Epicerie,13501282513232.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34276-confiture-c-bon-de-fruits-melanges-370g.html
CONFITURE C BON D ABRICOT 370G,Epicerie,13501282513232.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34275-confiture-c-bon-d-abricot-370g.html
CONFITURE C BON ANANAS 370G,Epicerie,13501282513232.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34274-confiture-c-bon-ananas-370g.html
CONFITURE C BON FRAISE 370G,Epicerie,13501282513232.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34273-confiture-c-bon-fraise-370g.html
COUSCOUS BON APPETIT FIN 1KG,Epicerie,84580258282.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34216-couscous-bon-appetit-fin-1kg.html
COUSCOUS BON APPETIT MOYEN 1KG,Epicerie,84580258282.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34215-couscous-bon-appetit-moyen-1kg.html
BISCUITS LA CASA DEL COOKIES GALACTICOS 140G,Epicerie,85080758332.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34202-biscuits-la-casa-del-cookies-galacticos-140g.html
BISCUITS LA CASA DEL COOKIES MOSAIC 140G,Epicerie,85080758332.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34201-biscuits-la-casa-del-cookies-mosaic-140g.html
BISCUITS LA CASA DEL COOKIES VANILLE 140G,Epicerie,85080758332.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34200-biscuits-la-casa-del-cookies-vanille-140g.html
